Object_ID,Area,Centroid_X,Centroid_Y,Aspect_Ratio,Average_Color,Label
149,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
150,2.5,401,877,0.8,[13.1846136  53.98857672 91.91496251],Matched Object
151,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
152,6.0,640,875,0.25,[13.1846136  53.98857672 91.91496251],Matched Object
153,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
154,2.0,700,870,0.375,[13.1846136  53.98857672 91.91496251],Matched Object
155,70.0,388,870,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
156,236.0,786,870,1.4736842105263157,[13.1846136  53.98857672 91.91496251],Matched Object
157,127.5,362,861,0.7222222222222222,[13.1846136  53.98857672 91.91496251],Matched Object
158,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
159,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
160,3.0,712,836,0.7142857142857143,[13.1846136  53.98857672 91.91496251],Matched Object
161,34.5,364,835,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
162,25.5,396,834,0.8888888888888888,[13.1846136  53.98857672 91.91496251],Matched Object
163,6.5,1138,829,1.5,[13.1846136  53.98857672 91.91496251],Matched Object
164,6.0,461,829,0.75,[13.1846136  53.98857672 91.91496251],Matched Object
165,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
166,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
167,28.0,423,827,0.75,[13.1846136  53.98857672 91.91496251],Matched Object
168,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
169,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
170,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
171,0.0,0,0,0.5,[13.1846136  53.98857672 91.91496251],Matched Object
172,2.0,730,812,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
173,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
174,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
175,56.5,413,811,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
176,0.0,0,0,2.0,[13.1846136  53.98857672 91.91496251],Matched Object
177,2.5,509,800,0.5,[13.1846136  53.98857672 91.91496251],Matched Object
178,23.5,434,802,0.75,[13.1846136  53.98857672 91.91496251],Matched Object
179,8.5,401,800,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
180,0.0,0,0,2.0,[13.1846136  53.98857672 91.91496251],Matched Object
181,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
182,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
183,14754.0,557,862,1.3581081081081081,[13.1846136  53.98857672 91.91496251],No Match
184,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
185,0.0,0,0,0.5,[13.1846136  53.98857672 91.91496251],Matched Object
186,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
187,21.0,551,784,3.2,[13.1846136  53.98857672 91.91496251],Matched Object
188,10.5,445,781,1.5,[13.1846136  53.98857672 91.91496251],Matched Object
189,0.0,0,0,0.5,[13.1846136  53.98857672 91.91496251],Matched Object
190,0.0,0,0,0.5,[13.1846136  53.98857672 91.91496251],Matched Object
191,0.5,804,770,1.3333333333333333,[13.1846136  53.98857672 91.91496251],Matched Object
192,29825.0,1226,908,0.7457044673539519,[13.1846136  53.98857672 91.91496251],No Match
193,37586.0,933,860,1.306896551724138,[13.1846136  53.98857672 91.91496251],No Match
194,0.0,0,0,2.0,[13.1846136  53.98857672 91.91496251],Matched Object
195,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
196,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
197,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
198,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
199,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
200,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
201,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
202,0.0,0,0,7.0,[13.1846136  53.98857672 91.91496251],Matched Object
203,7.0,872,763,7.0,[13.1846136  53.98857672 91.91496251],Matched Object
204,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
205,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
206,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
207,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
208,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
209,0.0,0,0,2.0,[13.1846136  53.98857672 91.91496251],Matched Object
210,2.0,720,763,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
211,4.5,618,762,1.6666666666666667,[13.1846136  53.98857672 91.91496251],Matched Object
212,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
213,13.0,627,762,4.25,[13.1846136  53.98857672 91.91496251],Matched Object
214,0.0,0,0,3.0,[13.1846136  53.98857672 91.91496251],Matched Object
215,0.5,607,760,1.5,[13.1846136  53.98857672 91.91496251],Matched Object
216,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
217,2.5,602,758,2.0,[13.1846136  53.98857672 91.91496251],Matched Object
218,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
219,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
220,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
221,79.5,652,756,0.6,[13.1846136  53.98857672 91.91496251],Matched Object
222,0.0,0,0,0.5,[13.1846136  53.98857672 91.91496251],Matched Object
223,121.5,741,753,1.588235294117647,[13.1846136  53.98857672 91.91496251],Matched Object
224,25.5,566,746,1.2857142857142858,[13.1846136  53.98857672 91.91496251],Matched Object
225,6.0,765,744,1.8,[13.1846136  53.98857672 91.91496251],Matched Object
226,4.5,749,740,0.5,[13.1846136  53.98857672 91.91496251],Matched Object
227,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
228,109.0,616,744,0.6875,[13.1846136  53.98857672 91.91496251],Matched Object
229,61.5,293,741,1.3333333333333333,[13.1846136  53.98857672 91.91496251],Matched Object
230,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
231,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
232,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
233,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
234,3.5,561,734,1.6666666666666667,[13.1846136  53.98857672 91.91496251],Matched Object
235,94.0,583,741,0.7916666666666666,[13.1846136  53.98857672 91.91496251],Matched Object
236,5.0,282,728,0.6666666666666666,[13.1846136  53.98857672 91.91496251],Matched Object
237,35.0,615,729,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
238,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
239,3.0,787,720,2.3333333333333335,[13.1846136  53.98857672 91.91496251],Matched Object
240,178.0,774,728,0.8888888888888888,[13.1846136  53.98857672 91.91496251],Matched Object
241,102.5,295,725,1.1111111111111112,[13.1846136  53.98857672 91.91496251],Matched Object
242,2.0,289,716,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
243,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
244,2.0,794,716,0.6,[13.1846136  53.98857672 91.91496251],Matched Object
245,7.0,801,709,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
246,42.0,780,708,0.7,[13.1846136  53.98857672 91.91496251],Matched Object
247,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
248,0.0,0,0,2.0,[13.1846136  53.98857672 91.91496251],Matched Object
249,63.0,9,693,0.8461538461538461,[13.1846136  53.98857672 91.91496251],Matched Object
250,1.0,1250,686,1.5,[13.1846136  53.98857672 91.91496251],Matched Object
251,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
252,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
253,85.5,786,685,0.6666666666666666,[13.1846136  53.98857672 91.91496251],Matched Object
254,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
255,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
256,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
257,0.0,0,0,0.5,[13.1846136  53.98857672 91.91496251],Matched Object
258,0.0,0,0,0.5,[13.1846136  53.98857672 91.91496251],Matched Object
259,46.0,776,663,1.25,[13.1846136  53.98857672 91.91496251],Matched Object
260,0.0,0,0,0.5,[13.1846136  53.98857672 91.91496251],Matched Object
261,1.0,1107,637,0.25,[13.1846136  53.98857672 91.91496251],Matched Object
262,0.0,0,0,0.5,[13.1846136  53.98857672 91.91496251],Matched Object
263,58.5,819,619,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
264,1.0,1058,592,1.5,[13.1846136  53.98857672 91.91496251],Matched Object
265,0.0,0,0,0.5,[13.1846136  53.98857672 91.91496251],Matched Object
266,1.0,38,562,0.6666666666666666,[13.1846136  53.98857672 91.91496251],Matched Object
267,1610.5,801,600,0.46511627906976744,[13.1846136  53.98857672 91.91496251],Matched Object
268,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
269,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
270,27.0,13,560,1.25,[13.1846136  53.98857672 91.91496251],Matched Object
271,0.5,11,553,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
272,47.5,804,539,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
273,5.0,1268,528,3.0,[13.1846136  53.98857672 91.91496251],Matched Object
274,0.0,0,0,0.3333333333333333,[13.1846136  53.98857672 91.91496251],Matched Object
275,109.0,1053,508,1.3076923076923077,[13.1846136  53.98857672 91.91496251],Matched Object
276,98.5,1037,502,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
277,331.5,780,499,0.9230769230769231,[13.1846136  53.98857672 91.91496251],Matched Object
278,1.0,1093,485,1.5,[13.1846136  53.98857672 91.91496251],Matched Object
279,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
280,3.0,1005,478,2.0,[13.1846136  53.98857672 91.91496251],Matched Object
281,21.0,1092,478,0.8,[13.1846136  53.98857672 91.91496251],Matched Object
282,10.5,1103,466,0.625,[13.1846136  53.98857672 91.91496251],Matched Object
283,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
284,5.5,5,451,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
285,26.0,2,457,0.6666666666666666,[13.1846136  53.98857672 91.91496251],Matched Object
286,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
287,9.0,690,445,0.8333333333333334,[13.1846136  53.98857672 91.91496251],Matched Object
288,0.0,0,0,2.0,[13.1846136  53.98857672 91.91496251],Matched Object
289,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
290,447.0,6,425,0.4634146341463415,[13.1846136  53.98857672 91.91496251],Matched Object
291,13.0,940,403,0.75,[13.1846136  53.98857672 91.91496251],Matched Object
292,39.0,1059,400,1.2222222222222223,[13.1846136  53.98857672 91.91496251],Matched Object
293,0.0,0,0,0.5,[13.1846136  53.98857672 91.91496251],Matched Object
294,0.0,0,0,0.5,[13.1846136  53.98857672 91.91496251],Matched Object
295,21.5,700,363,0.5555555555555556,[13.1846136  53.98857672 91.91496251],Matched Object
296,6.0,861,359,0.75,[13.1846136  53.98857672 91.91496251],Matched Object
297,3.0,678,359,1.6,[13.1846136  53.98857672 91.91496251],Matched Object
298,50.5,1303,364,0.3157894736842105,[13.1846136  53.98857672 91.91496251],Matched Object
299,0.0,0,0,2.0,[13.1846136  53.98857672 91.91496251],Matched Object
300,0.5,910,346,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
301,1.0,1038,345,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
302,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
303,0.0,0,0,0.5,[13.1846136  53.98857672 91.91496251],Matched Object
304,0.5,862,330,0.4,[13.1846136  53.98857672 91.91496251],Matched Object
305,300.0,685,343,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
306,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
307,13.5,754,284,1.2,[13.1846136  53.98857672 91.91496251],Matched Object
308,0.0,0,0,0.5,[13.1846136  53.98857672 91.91496251],Matched Object
309,30.0,1036,282,0.5,[13.1846136  53.98857672 91.91496251],Matched Object
310,0.5,1177,272,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
311,17.5,754,273,1.2,[13.1846136  53.98857672 91.91496251],Matched Object
312,0.5,1152,269,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
313,0.5,1034,264,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
314,6.5,999,253,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
315,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
316,257.0,653,251,0.7254901960784313,[13.1846136  53.98857672 91.91496251],Matched Object
317,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
318,0.0,0,0,2.0,[13.1846136  53.98857672 91.91496251],Matched Object
319,0.0,0,0,2.0,[13.1846136  53.98857672 91.91496251],Matched Object
320,11.0,849,224,0.25,[13.1846136  53.98857672 91.91496251],Matched Object
321,0.0,0,0,1.5,[13.1846136  53.98857672 91.91496251],Matched Object
322,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
323,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
324,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
325,0.0,0,0,0.5,[13.1846136  53.98857672 91.91496251],Matched Object
326,3.0,754,206,2.0,[13.1846136  53.98857672 91.91496251],Matched Object
327,16.0,1011,205,2.0,[13.1846136  53.98857672 91.91496251],Matched Object
328,3.0,753,200,1.6666666666666667,[13.1846136  53.98857672 91.91496251],Matched Object
329,139.5,654,200,1.6666666666666667,[13.1846136  53.98857672 91.91496251],Matched Object
330,11.5,635,196,1.125,[13.1846136  53.98857672 91.91496251],Matched Object
331,0.0,0,0,2.0,[13.1846136  53.98857672 91.91496251],Matched Object
332,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
333,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
334,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
335,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
336,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
337,10395.0,903,290,0.6527777777777778,[13.1846136  53.98857672 91.91496251],Matched Object
338,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
339,889.0,772,190,3.6451612903225805,[13.1846136  53.98857672 91.91496251],Matched Object
